,key,press_time,release_time,hold_time
128,i,1555490207.1609244,1555490207.224657,0.06373262405395508
129,d,1555490207.328775,1555490207.4344153,0.10564041137695312
130,e,1555490207.4009306,1555490207.4966204,0.09568977355957031
131,n,1555490207.5291555,1555490207.5848126,0.055657148361206055
132,t,1555490207.9056902,1555490207.9776788,0.07198858261108398
133,i,1555490208.1297266,1555490208.2096436,0.07991695404052734
134,g,1555490208.5127683,1555490208.5927286,0.07996034622192383
135,y,1555490208.7608461,1555490208.8407211,0.07987499237060547
136,Key.space,1555490208.8736262,1555490208.968555,0.09492874145507812
137,t,1555490209.0736806,1555490209.1375027,0.06382203102111816
138,h,1555490209.1619968,1555490209.2167532,0.05475640296936035
139,e,1555490209.2647755,1555490209.3459506,0.08117508888244629
140,Key.space,1555490209.328738,1555490209.4166963,0.08795833587646484
141,a,1555490209.4967623,1555490209.5926404,0.09587812423706055
142,u,1555490209.5939884,1555490209.6486366,0.05464816093444824
143,t,1555490209.7447624,1555490209.8169663,0.0722038745880127
144,h,1555490209.8176472,1555490209.86493,0.04728269577026367
145,o,1555490210.0418115,1555490210.1216695,0.07985806465148926
146,r,1555490210.289719,1555490210.3694844,0.07976531982421875
147,Key.space,1555490210.4247143,1555490210.4886816,0.06396722793579102
148,o,1555490210.5767484,1555490210.6408868,0.06413841247558594
149,f,1555490210.6422293,1555490210.7207024,0.07847309112548828
150,Key.space,1555490210.744739,1555490210.8326883,0.08794927597045898
151,a,1555490210.8728364,1555490210.960805,0.08796858787536621
152,Key.space,1555490210.9934711,1555490211.0646873,0.07121610641479492
153,w,1555490211.1208417,1555490211.2255237,0.10468196868896484
154,r,1555490211.313723,1555490211.3856068,0.0718836784362793
155,i,1555490211.4727755,1555490211.528788,0.056012630462646484
156,t,1555490211.584737,1555490211.625532,0.04079484939575195
157,t,1555490211.736691,1555490211.8326612,0.09597015380859375
158,e,1555490211.8340244,1555490211.9206283,0.08660387992858887
159,n,1555490212.0167716,1555490212.0887384,0.07196688652038574
160,Key.space,1555490212.1617293,1555490212.2566776,0.09494829177856445
161,t,1555490212.3526223,1555490212.4666326,0.11401033401489258
162,e,1555490212.4487844,1555490212.5606756,0.11189126968383789
163,x,1555490212.7207477,1555490212.8246353,0.10388755798339844
164,t,1555490212.8887622,1555490212.9775405,0.08877825736999512
165,.,1555490213.0118072,1555490213.080728,0.06892085075378418
